# prefix,country_code,region_code,city,postal
79.171.117.0/24,RU,RU-MOW,Moscow,
185.165.122.0/24,RU,RU-MOW,Moscow,
185.165.123.0/24,RU,RU-MOW,Moscow,
185.203.72.0/24,GB,GB-RDG,Reading,
185.203.74.0/24,RU,RU-MOW,Moscow,
185.46.175.0/24,BY,BY-HM,Minsk,
185.161.79.0/24,KZ,KZ-71,Astana,
